building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
RT-B1,R1504,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-150,150,23/2/2026,
RT-B1,R1505,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-151,151,23/2/2026,
RT-B1,R1505,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-152,152,23/2/2026,
RT-B1,R1505,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-153,153,23/2/2026,
RT-B1,R1505,ไมค์สาย,ไมค์สาย 1,NBU3-154,154,23/2/2026,
RT-B1,R1505,ลำโพง,ลำโพง,NBU3-155,155,23/2/2026,
RT-B1,R1505,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-156,156,23/2/2026,
RT-B1,R1506,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-157,157,23/2/2026,
RT-B1,R1506,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-158,158,23/2/2026,
RT-B1,R1506,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-159,159,23/2/2026,
RT-B1,R1506,ไมค์สาย,ไมค์สาย 1,NBU3-160,160,23/2/2026,
RT-B1,R1506,ลำโพง,ลำโพง,NBU3-161,161,23/2/2026,
RT-B1,R1506,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-162,162,23/2/2026,
RT-B1,R1507,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-163,163,23/2/2026,
RT-B1,R1507,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-164,164,23/2/2026,
RT-B1,R1507,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-165,165,23/2/2026,
RT-B1,R1507,ไมค์สาย,ไมค์สาย 1,NBU3-166,166,23/2/2026,
RT-B1,R1507,ลำโพง,ลำโพง,NBU3-167,167,23/2/2026,
RT-B1,R1507,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-168,168,23/2/2026,
RT-B1,R1508,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-169,169,23/2/2026,
RT-B1,R1508,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-170,170,23/2/2026,
